,Name,Description,Buy_price,Sale_price,Quantities,pic_path,id
0,PERIWINKLE,"Perfect as a ground cover, the flowers resemble small, delicate stars and are often found in shades of blue, purple, and white. Needs droughty soil. Blooms in mid-spring to mid-fall. Petal colors: blue, purple, white. Requires partial shade and low water.",12.3,7.0,2,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/periwinkle.jpg,P_wQaTEhxF
1,BELLFLOWER,"Known for their resemblance to bells, these flowers come in shades of blue, purple, pink, and white and add a whimsical touch to any garden. Needs well-drained soil. Blooms in early summer to early fall. Petal colors: blue, purple, pink, white. Requires full sun to partial shade and moderate water.",12.8,4.3,36,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/bellflower.jpg,3R7y315Ofw
2,LILY,"A highly recognized flower which has bright colors and a distinct fragrance, lilies are often associated with purity and refined beauty. Needs well-drained soil. Blooms in spring to early fall. Petal colors: various bright colors. Requires full sun to partial shade and moderate water.",13.2,9.3,77,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/lily.jpg,8IbYkmbd20
3,TULIP,"Great as a cut flower, they come in every color of the rainbow and are symbolic of spring and renewal. Needs well-drained soil. Blooms in spring. Petal colors: various colors. Requires full sun and moderate water.",17.4,8.4,93,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/tulip.jpg,WcSVYJCihK
4,ROSE,"Over 100 species of rose exist along with almost countless cultivars, known for their beauty and fragrance, often symbols of love and admiration. Needs well-drained soil. Blooms in late spring to early fall. Petal colors: various colors. Requires full sun and moderate water.",14.0,8.1,83,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/rose.jpg,2kPkIOva97
5,ZINNIA,"Large blooms in vibrant colors that attract butterflies, zinnias are popular for their long-lasting flowers and ease of growth. Needs well-drained soil. Blooms in mid-summer to mid-fall. Petal colors: vibrant colors. Requires full sun and moderate water.",13.5,11.2,29,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/zinnia.jpg,rYitHikVVp
6,BLOODROOT,"Named for its red colored sap that flows from cut stems, bloodroot flowers are white with a bright yellow center. Needs well-drained soil. Blooms in early spring. Petal colors: white, yellow center. Requires partial shade and low water.",13.5,10.4,14,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/bloodroot.jpg,JiAOlhSlnZ
7,VIOLET,"A common house plant, they come in many colors and are known for their delicate, heart-shaped leaves and small blooms. Needs well-drained soil. Blooms in early spring to early fall. Petal colors: various colors. Requires partial shade and moderate water.",10.7,10.5,63,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/violet.jpg,hisoAMVDAk
8,DAFFODIL,"Known for their trumpet-like flowers and bright yellow petals, daffodils are a harbinger of spring. Needs well-drained soil. Blooms in early spring. Petal colors: yellow. Requires full sun and moderate water.",16.8,9.6,10,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/daffodil.jpg,Sfxy8V7ed3
9,MARIGOLD,"Popular for their vibrant orange and yellow blooms, marigolds are easy to grow and can help repel garden pests. Needs full sun. Blooms in summer to fall. Petal colors: orange, yellow. Requires full sun and moderate water.",17.0,8.7,11,/Users/kacperjarzyna/systemy_rozproszone/test_notebooks/data/img_flowers/marigold.jpg,2EZlyYL3k9
